uri,political_party,news_outlet
npo.nl,0,1
nos.nl,0,1
rtl.nl,0,1
hartvannederland.nl,0,1
volkskrant.nl,0,1
telegraaf.nl,0,1
nrc.nl,0,1
trouw.nl,0,1
ad.nl,0,1
dutchnews.nl,0,1
nltimes.nl,0,1
hbvl.be,0,1
gva.be,0,1
nieuwsblad.be,0,1
hln.be,0,1
demorgen.be,0,1
standaard.be,0,1
tijd.be,0,1
lavenir.net,0,1
sudinfo.be,0,1
dhnet.be,0,1
echo.be,0,1
lalibre.be,0,1
lesoir.be,0,1
pvv.nl,1,0
fvd.nl,1,0
groenlinks.nl,1,0
pvda.nl,1,0
vvd.nl,1,0
partijnieuwsociaalcontract.nl,1,0
partijvoordedieren.nl,1,0
d66.nl,1,0
cda.nl,1,0
boerburgerbeweging.nl,1,0
sp.nl,1,0
voltnederland.org,1,0
ja21.nl,1,0
bewegingdenk.nl,1,0
pvda.be,1,0
ps.be,1,0
vooruit.org,1,0
ecolo.be,1,0
groen.be,1,0
fouadahidar.com,1,0
defi.be,1,0
lesengages.be,1,0
cdenv.be,1,0
openvld.be,1,0
mr.be,1,0
n-va.be,1,0
vlaamsbelang.org,1,0
